"Date";"Open";"High";"Low";"Close";"Volume";"Adj.Close"
"1";"2010-04-15";592,17;597,84;588,29;595,3;6761800;595,3
"2";"2010-04-14";590,06;592,34;584,01;589;3402700;589
"3";"2010-04-13";572,53;588,88;571,13;586,77;3912300;586,77
"4";"2010-04-12";567,35;574;566,22;572,73;2352400;572,73
"5";"2010-04-09";567,49;568,77;564;566,22;2056600;566,22
"6";"2010-04-08";563,32;569,85;560,05;567,49;1947500;567,49
"7";"2010-04-07";567,3;568,75;561,86;563,54;2581000;563,54
"8";"2010-04-06";569,46;570,89;565,4;568,22;2060100;568,22
"9";"2010-04-05";570,9;574,88;569;571,01;1901500;571,01
"10";"2010-04-01";571,35;573,45;565,55;568,8;2102700;568,8
